system:index,first,.geo
1_1_1_1_1_1_1_1_1_1_60,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.09703320836554,12.110860564965785]}"
1_1_1_1_1_1_1_1_1_1_61,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.68696236950461,11.416715624686661]}"
1_1_1_1_1_1_1_1_1_1_62,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.06557886517233,10.48098547350408]}"
1_1_1_1_1_1_1_1_1_1_63,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.92653284179848,13.129956079591405]}"
1_1_1_1_1_1_1_1_1_1_64,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.51193225241553,14.230909532249425]}"
1_1_1_1_1_1_1_1_1_1_65,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.29875431432731,11.02814383477588]}"
1_1_1_1_1_1_1_1_1_1_66,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.86869183058302,10.561728695571821]}"
1_1_1_1_1_1_1_1_1_1_67,73.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.50581046462554,10.139540805391794]}"
1_1_1_1_1_1_1_1_1_1_68,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.9998673338443,12.202794514191018]}"
1_1_1_1_1_1_1_1_1_1_69,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.29744734839677,14.443233902064287]}"
1_1_1_1_1_1_1_1_1_1_70,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.00096600499622,13.659316145598517]}"
1_1_1_1_1_1_1_1_1_1_71,110.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.321530973342,11.343034399109605]}"
1_1_1_1_1_1_1_1_1_1_72,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.18084744125831,11.030155894656053]}"
1_1_1_1_1_1_1_1_1_1_73,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.36233930331605,14.43269775135914]}"
1_1_1_1_1_1_1_1_1_1_74,73.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.18844000572493,9.925670824837818]}"
1_1_1_1_1_1_1_1_1_1_75,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.5628802119013,13.991482326030127]}"
1_1_1_1_1_1_1_1_1_1_76,13.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.35055931864649,10.449986551639553]}"
1_1_1_1_1_1_1_1_1_1_77,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.6752324826516,11.972288554125972]}"
1_1_1_1_1_1_1_1_1_1_78,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.69048864531604,12.619648592893094]}"
1_1_1_1_1_1_1_1_1_1_79,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.09957424127971,12.26566454508921]}"
