Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
136	0.0375236	0.0727590	0.0002153	0.0505196	0.0220241	
137	0.0076822	0.0124087	0.0000090	0.0110229	0.0013768	
138	0.0132741	0.0265564	0.0000269	0.0169770	0.0095524	
139	0.0144762	0.0129698	0.0000320	0.0129378	0.0000000	
140	0.0020234	0.0036717	0.0000006	0.0028393	0.0008317	
141	0.1294957	0.1693500	0.0025642	0.1667858	0.0000000	
142	0.1066926	0.2399138	0.0017406	0.1967223	0.0414508	
143	0.0123169	0.0093585	0.0000232	0.0093353	0.0000000	
144	0.0158394	0.0221299	0.0000384	0.0163726	0.0057188	
145	0.2969250	0.5449423	0.0134814	0.5141931	0.0172678	
146	0.0060864	0.0068063	0.0000057	0.0068007	0.0000000	
147	0.0517427	0.0447600	0.0004094	0.0443506	0.0000000	
148	0.0150047	0.0166872	0.0000344	0.0139773	0.0026754	
149	0.0095826	0.0084648	0.0000140	0.0084507	0.0000000	
150	0.0144068	0.0131871	0.0000317	0.0131553	0.0000000	
151	0.0039741	0.0000184	0.0000024	0.0000159	0.0000000	
152	0.0060253	0.0047490	0.0000056	0.0047434	0.0000000	
153	0.0142232	0.0000469	0.0000309	0.0000160	0.0000000	
154	0.0509693	0.0525154	0.0003972	0.0513636	0.0007546	
155	1.4127750	1.3963690	0.3052028	0.8773805	0.2137861	
156	0.0038851	0.0037907	0.0000023	0.0037884	0.0000000	
157	0.0025675	0.0025455	0.0000010	0.0025445	0.0000000	
158	0.0553877	0.0613003	0.0004691	0.0465098	0.0143214	
159	0.4529783	0.4427503	0.0313760	0.3641000	0.0472743	
160	0.0163835	0.0295677	0.0000410	0.0161184	0.0134082	
161	0.0176042	0.0339153	0.0000474	0.0159431	0.0179248	
162	1.2362200	1.1442710	0.2336868	0.7996911	0.1108928	
163	0.0266075	0.0251436	0.0001083	0.0131252	0.0119101	
164	0.1276625	0.0874784	0.0024921	0.0837816	0.0012046	
165	0.1456936	0.1095806	0.0032458	0.1007398	0.0055950	
166	0.1158667	0.1417356	0.0020529	0.1038402	0.0358425	
167	0.0410930	0.0216629	0.0002582	0.0186893	0.0027154	
168	0.0332268	0.0027598	0.0001688	0.0019128	0.0006781	
169	0.0400728	0.0350100	0.0002456	0.0123718	0.0223926	
170	0.0338835	0.0063994	0.0001756	0.0062239	0.0000000	
171	0.2785209	0.0474183	0.0118620	0.0330555	0.0025007	
172	0.6517977	0.2494729	0.0649633	0.1844295	0.0000801	
173	0.0068733	0.0019366	0.0000072	0.0019294	0.0000000	
174	0.0841435	0.0056511	0.0010826	0.0038358	0.0007327	
175	0.3639058	0.0979852	0.0202498	0.0712948	0.0064405	
