Node,dA,dPC,dPCintra,dPCflux,dPCconnector,Component,BC
160,0.0163835,0.0295677,0.000041,0.0161184,0.0134082,7,3.27E-05
161,0.0176042,0.0339153,0.0000474,0.0159431,0.0179248,7,4.25E-05
162,1.23622,1.144271,0.2336868,0.7996911,0.1108928,7,0.0018058
163,0.0266075,0.0251436,0.0001083,0.0131252,0.0119101,7,0
164,0.1276625,0.0874784,0.0024921,0.0837816,0.0012046,7,0.0002997
165,0.1456936,0.1095806,0.0032458,0.1007398,0.005595,7,0.0001547
166,0.1158667,0.1417356,0.0020529,0.1038402,0.0358425,7,0.0001413
167,0.041093,0.0216629,0.0002582,0.0186893,0.0027154,7,5.00E-06
168,0.0332268,0.0027598,0.0001688,0.0019128,0.0006781,9,0
169,0.0400728,0.03501,0.0002456,0.0123718,0.0223926,7,6.65E-05
170,0.0338835,0.0063994,0.0001756,0.0062239,0,7,0
171,0.2785209,0.0474183,0.011862,0.0330555,0.0025007,7,8.84E-05
172,0.6517977,0.2494729,0.0649633,0.1844295,0.0000801,7,0
173,0.0068733,0.0019366,0.0000072,0.0019294,0,7,1.78E-05
174,0.0841435,0.0056511,0.0010826,0.0038358,0.0007327,9,5.60E-06
175,0.3639058,0.0979852,0.0202498,0.0712948,0.0064405,7,0.0001618
176,0.0118593,0.0006804,0.0000215,0.0006582,0.0000006,9,5.60E-06
177,0.0695172,0.0181227,0.000739,0.0173838,0,7,2.40E-06
178,0.0054066,0.0003587,0.0000045,0.0003542,0,9,0
179,0.1022343,0.0074501,0.0015982,0.0051024,0.0007494,9,0
180,0.0894565,0.0060746,0.0012237,0.0047552,0.0000956,9,0
181,0.0552028,0.0034975,0.000466,0.0030281,0.0000033,10,0
182,0.2304141,0.0428156,0.0081182,0.0333455,0.0013519,10,2.07E-05
183,0.0167753,0.0011023,0.000043,0.0010593,0,10,2.50E-06
184,0.0478047,0.0333468,0.0003494,0.014425,0.0185723,10,3.92E-05
185,0.0047836,0.0019138,0.0000035,0.0015511,0.0003592,10,1.16E-05
186,0.0067224,0.0021915,0.0000069,0.0021846,0,10,1.16E-05
187,0.0952249,0.0623928,0.0013866,0.0401574,0.0208488,10,5.10E-05
188,0.0244839,0.0111841,0.0000917,0.0110925,0,10,5.10E-05
189,0.4987359,0.2642308,0.038035,0.1810212,0.0451746,10,5.89E-05
190,0.0182455,0.0094874,0.0000509,0.0094365,0,10,2.10E-06
191,0.003779,0.0015507,0.0000022,0.0015485,0,10,1.34E-05
192,0.0940196,0.1216761,0.0013517,0.0505594,0.069765,10,1.34E-05
193,0.0659818,0.0264616,0.0006657,0.0257959,0,10,1.40E-05
194,1.23605,0.5892923,0.2336225,0.3103959,0.0452738,10,4.54E-05
195,0.2695163,0.1690644,0.0111074,0.1351698,0.0227871,10,2.50E-06
196,0.0166027,0.0157521,0.0000421,0.0076672,0.0080427,10,0
197,0.0066213,0.0026266,0.0000067,0.0026199,0,11,0
198,0.0363958,0.0065987,0.0002026,0.0063962,0,11,0
199,0.1521912,0.0713421,0.0035418,0.0600143,0.007786,11,0.0001358
200,0.010529,0.0031962,0.000017,0.0021587,0.0010205,11,0
201,0.0046538,0.0024419,0.0000033,0.00133,0.0011085,11,1.50E-06
202,0.0170991,0.0091545,0.0000447,0.0064357,0.002674,11,0.0003374
203,0.0211697,0.0109108,0.0000685,0.0108423,0,11,0.0003483
204,0.1138692,0.0574517,0.0019827,0.0478042,0.0076648,11,0.0003483
205,0.1167537,0.0950834,0.0020844,0.0548146,0.0381844,11,5.85E-05
206,0.0141911,0.0076758,0.0000308,0.007645,0,11,5.85E-05
207,0.3521889,0.2147076,0.0189668,0.1610302,0.0347106,11,0.0003483
208,0.0241398,0.0085902,0.0000891,0.0085011,0,11,4.34E-05
209,1.008164,0.4527892,0.1554193,0.2607686,0.0366013,11,0.0043217
210,0.0199424,0.0057586,0.0000608,0.0034257,0.002272,11,0.0051081
211,0.0576824,0.0263034,0.0005088,0.0192505,0.0065441,11,0.0001701
212,0.0391577,0.0122402,0.0002345,0.0120034,0.0000023,11,0.0001701
213,0.0863619,0.0208535,0.0011405,0.0136737,0.0060393,11,0.0005247
214,0.4786185,0.1211217,0.0350285,0.0758401,0.010253,11,0.0063077
215,0.030089,0.003369,0.0001384,0.0032305,0,11,0
216,0.0211895,0.0051227,0.0000687,0.005054,0,11,1.49E-05
217,0.0202156,0.0044071,0.0000625,0.0040181,0.0003265,11,1.49E-05
218,0.2891346,0.1212119,0.0127833,0.0783528,0.0300758,11,1.49E-05
219,0.0359239,0.0136565,0.0001973,0.0124311,0.001028,11,1.49E-05
220,0.0635927,0.0448037,0.0006184,0.0215302,0.0226551,11,0.0041082
221,0.0892215,0.0304638,0.0012173,0.029241,0.0000056,11,0.0038391
222,0.0190767,0.0347819,0.0000556,0.0323589,0.0023673,11,0
223,0.281743,2.235163,0.012138,0.5763769,1.646649,11,0.0001162
224,0.1084262,0.2218698,0.0017977,0.2200722,0,11,0
225,0.7677442,3.267727,0.0901313,1.461305,1.71629,11,0.0001162
226,0.005049,0.0102791,0.0000039,0.0102752,0,11,3.70E-06
227,0.0181899,0.0361004,0.0000506,0.0360498,0,11,3.70E-06
228,2.110042,3.896286,0.6808081,3.108374,0.1071047,11,0.0100619
229,0.0101752,0.0144432,0.0000158,0.0144273,0,11,0
230,0.0492266,0.0973806,0.0003705,0.09701,0,11,1.10E-06
231,0.3791642,0.7875176,0.0219835,0.7142082,0.0513259,11,4.40E-06
232,2.273129,5.42596,0.7901154,3.28327,1.352574,11,0.0106035
233,0.3239657,0.6711906,0.0160487,0.6551419,0,11,0.0003004
234,0.1146572,0.0587599,0.0020102,0.0378984,0.0188512,11,0.0012705
235,0.158124,0.3634353,0.0038233,0.3237139,0.0358981,11,2.46E-05
236,0.1391659,0.6119598,0.0029615,0.2884057,0.3205925,11,0.0024855
237,0.0442559,0.0974097,0.0002995,0.091403,0.0057072,11,2.46E-05
238,0.0182323,0.0133039,0.0000508,0.0052935,0.0079596,11,0
239,0.0339925,0.0699713,0.0001767,0.0697946,0,11,2.04E-05
240,0.0218515,0.0589933,0.000073,0.0373145,0.0216057,11,0.0022302
241,0.0326535,0.0540639,0.000163,0.0458426,0.0080582,11,0.0021025
242,0.0989006,0.027928,0.0014957,0.0253071,0.0011252,11,0
243,0.181095,0.2362826,0.0050148,0.2259424,0.0053254,11,0.0021025
244,0.0264596,0.0311738,0.0001071,0.0310667,0,11,0.0001256
245,0.2148551,0.298718,0.0070588,0.2582269,0.0334323,11,0.0021025
246,0.0163172,0.0017002,0.0000407,0.0015946,0.0000649,11,0
247,0.0025722,0.0015455,0.000001,0.0015094,0.000035,11,3.30E-06
248,0.0130317,0.0068982,0.000026,0.0068722,0,11,1.90E-06
249,0.0610791,0.0366729,0.0005705,0.035817,0.0002854,11,1.89E-05
250,0.0139381,0.0075138,0.0000297,0.0074841,0,11,0
251,0.059153,0.0386729,0.0005351,0.0362165,0.0019213,11,1.90E-06
252,0.0538393,0.0713952,0.0004432,0.0464983,0.0244536,11,0.0123681
253,0.2170195,0.1550421,0.0072018,0.1244238,0.0234166,11,6.43E-05
254,0.231304,0.1660918,0.008181,0.1321461,0.0257647,11,0.0005764
255,0.1331832,0.0854976,0.0027123,0.0791623,0.0036229,11,1.02E-05
256,0.1851873,0.1789495,0.005244,0.1084744,0.0652311,11,0.0003715
257,0.0018584,0.0011885,0.0000005,0.0011879,0,11,0.0002012
258,0.0983761,0.0370128,0.0014799,0.0315377,0.0039953,11,0.0034973
259,0.091735,0.055933,0.0012868,0.0546461,0,11,0.0002512
260,0.0128309,0.0084342,0.0000252,0.0044086,0.0040004,11,0.0011284
261,0.0050505,0.0023498,0.0000039,0.0023459,0,11,0.0003648
262,0.1396279,0.1189087,0.0029812,0.0837107,0.0322168,11,0.0005842
