Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
668	0.0115120	0.0000621	0.0000612	0.0000009	0.0000000	
669	0.0030194	0.0000042	0.0000042	0.0000000	0.0000000	
670	0.0347657	0.0005584	0.0005583	0.0000001	0.0000000	
671	0.0208231	0.0002016	0.0002003	0.0000013	0.0000000	
672	0.0214505	0.0004323	0.0002125	0.0002197	0.0000000	
673	0.0285261	0.0003768	0.0003759	0.0000009	0.0000000	
674	0.0073339	0.0000404	0.0000248	0.0000156	0.0000000	
675	0.6226134	0.1798851	0.1790606	0.0008242	0.0000002	
676	0.0101782	0.0000479	0.0000479	0.0000000	0.0000000	
677	0.0034435	0.0000055	0.0000055	0.0000000	0.0000000	
678	0.0254051	0.0003149	0.0002981	0.0000168	0.0000000	
679	0.0016640	0.0000013	0.0000013	0.0000000	0.0000000	
680	0.0390211	0.0007039	0.0007033	0.0000005	0.0000000	
681	0.0704341	0.0022985	0.0022915	0.0000069	0.0000000	
682	0.7597061	0.2665964	0.2665964	0.0000000	0.0000000	
683	0.0948642	0.0041569	0.0041569	0.0000000	0.0000000	
684	0.1120231	0.0057967	0.0057967	0.0000000	0.0000000	
685	0.2150821	0.0213684	0.0213684	0.0000000	0.0000000	
686	0.0362870	0.0006082	0.0006082	0.0000000	0.0000000	
687	0.0022196	0.0000124	0.0000023	0.0000101	0.0000000	
688	0.3065415	0.0434806	0.0434052	0.0000754	0.0000000	
689	0.0022295	0.0000340	0.0000023	0.0000316	0.0000001	
690	0.1183905	0.0185943	0.0064744	0.0121200	0.0000000	
691	0.2381601	0.0262014	0.0262000	0.0000014	0.0000000	
692	0.0162073	0.0001223	0.0001213	0.0000010	0.0000000	
693	0.0023923	0.0000026	0.0000026	0.0000000	0.0000000	
694	0.0867133	0.0505258	0.0034732	0.0470526	0.0000000	
695	0.0758260	0.0026558	0.0026558	0.0000000	0.0000000	
696	0.0737235	0.1071212	0.0025106	0.1046106	0.0000000	
697	0.0113537	0.0002667	0.0000595	0.0002072	0.0000000	
698	0.0314244	0.0084294	0.0004561	0.0079732	0.0000000	
699	1.1647270	0.6267313	0.6266299	0.0001015	0.0000000	
700	0.0425094	0.0008370	0.0008347	0.0000023	0.0000000	
701	0.0206523	0.0001975	0.0001970	0.0000005	0.0000000	
702	0.0260644	0.0036582	0.0003138	0.0028972	0.0004472	
703	0.0078043	0.0104282	0.0000281	0.0104001	0.0000000	
704	1.4277480	0.9592984	0.9415991	0.0176578	0.0000415	
705	0.0034120	0.0034296	0.0000054	0.0034242	0.0000000	
706	0.0083795	0.0049925	0.0000324	0.0044403	0.0005198	
707	0.0016422	0.0002231	0.0000012	0.0002219	0.0000000	
708	0.0255401	0.0028678	0.0003013	0.0025665	0.0000000	
709	0.0347019	0.0007155	0.0005562	0.0001574	0.0000019	
710	0.0028099	0.0009998	0.0000036	0.0009962	0.0000000	
711	0.0094959	0.0115488	0.0000417	0.0115072	0.0000000	
712	0.0035750	0.0009158	0.0000059	0.0007819	0.0001280	
713	0.0074781	0.0012386	0.0000258	0.0012128	0.0000000	
714	0.0033790	0.0001447	0.0000053	0.0001394	0.0000001	
715	0.0014907	0.0000379	0.0000010	0.0000368	0.0000000	
716	0.2088254	0.0294002	0.0201433	0.0092467	0.0000102	
